"ds",AAAAAAAAAA,??????????,??????????,??????????,100
"herz",AAAAAAAAAA,??????????,??????????,??????????,100
"INAC",AAAAAAAAAA,WTTTTTTTTT,WWWWWWWWWW,WWWWWWWWWW,100
"mfMM",AAAAAAAAAA,YYYYYYYYYY,??????????,??????????,100
"piggy",AAAAAAAAAA,WWWWWWTTTT,WWWWWWWWWW,WWWWWWWWWW,100
"w2",AAAAAAAAAA,??????????,WWWWWWWWTT,??????????,100
"whiteboard",AAAAAAAAAA,??????????,??????????,??????????,100
"只是交着玩儿",AAAAAAAAAA,WWWWTTTTTT,??????????,??????????,100
"小学的小朋友来垫底",AAAAAAAAAA,WTTTTTTTTT,WWWWWWWWWW,WWWWWWWWWW,100
"挂了",AAAAAAAAAA,MMMMMMMMMM,WWWWWWTTTT,??????????,100
"骗分小王子",AAAAAAAAAA,??????????,??????????,??????????,100
"落叶の回音·失败",AWWWWBBBBB,??????????,AAAAAAAWAA,??????????,100
"Fp-Tens",??????????,??????????,AAAAAAAAAA,??????????,100
"FP_YJX",??????????,??????????,AAAAAAAAAA,??????????,100
"fp-hxl",AAWWWWWWWW,AWWWWWWWWW,AAAAAATTTT,??????????,90
"超超",WWAAAAAAAA,AWWWWTTTTT,??????????,??????????,90
"JFantasy",AAAAAWAAWW,AWWWWWTTTT,??????????,??????????,80
"lovejoey",AAAAAAAATT,??????????,??????????,??????????,80
"NewDream",AAAAAAAATT,WWBBBBBBBB,WWWWWWWWWW,WWWWWWWWWW,80
"uchihatmtkinu",AAAAAAAATT,??????????,??????????,??????????,80
"ven",??????????,??????????,??????????,AAAAAWAAAW,80
"zhouyue",AAAAAAAATT,BBBBBBBBBB,??????????,??????????,80
"少林旋龟",AAAAAAAATT,??????????,??????????,??????????,80
"FP-HHH",AAWWWWWWWW,WWWWWTTBBB,WWWWAAAAAA,??????????,80
"fp-lyx",AAWWWWWWWW,WWWWWTTBBB,WWWWAAAAAA,??????????,80
"xjdx",AWWWWWWWWW,??????????,AAAAAAATTT,??????????,80
"新建文件夹",TTTTTTTTTT,??????????,AAAAAAAATT,??????????,80
"fool007aaa",AAWWWWWWTT,AAAAATTTTT,??????????,??????????,70
"WaslTOne牛是永远的神",WWWWWWWWWW,AAAAAAATTT,WWWWWTTTTT,WWWWWWWWWW,70
"好活不如懒死",AAWWWWWWWW,AAAAATTTTT,??????????,??????????,70
"fp_cdq",AAWWWWWWWW,AWWWWWWWWW,AAATTTTTTT,??????????,60
"fp_zsh",AAWWWWWWTT,AAAATTTTTT,YYYYYYYYYY,??????????,60
"latioswang",AAWWWWWWTT,WAWAAAWWWW,??????????,??????????,60
"srx",WWAAAAAATT,??????????,??????????,??????????,60
"birds",AAWWWWWWWW,AWWBBBBBBB,AAATTTTTTB,WWWWWWWWWW,60
"magic",AWWWWWWWWW,AAAATTTTTT,WWWWWWWWWW,WWWWWWWWWW,50
"M_tmzw",AWWWWWTWTT,AAAATTTTTT,WWWWWWWWWW,??????????,50
"Neptun",??????????,AAAAATTTTT,WWWWWWWTTT,??????????,50
"thbourlove",WWWWWWWWTT,AAAAATTTTT,WWWWWWWWWW,??????????,50
"fp-lhz",TTTTTTTTTT,AAAATTTTTT,AWWWWWTTTT,??????????,50
"hjn",AAWWWWWWWW,AWWWWWWWWW,WWWWAATWTT,WWWWWWWWWW,50
"yyzlzx",AAWWWWWWWW,YYYYYYYYYY,AAAWWWWWWW,??????????,50
"envelope2",AAWAATTTTT,WWWWWWWWWW,WWWWWWWWWW,WWWWWWWWWW,40
"GriffinHeart",AAWWWWWWWW,WAWWTTTTTT,WWWWWWWWWW,AWWWWWWWWW,40
"Innocence",AAWWWWWWWW,AAWTTTTTTT,??????????,??????????,40
"jlxjlxjiang",AAWWWWWWWW,??????????,AATTTTTTTT,??????????,40
"zqqdtc",??????????,AAAAWTTTTT,WWWWWWWWWW,WWWWWWWWWW,40
"会读书",AWWWWTTTTT,AAATTTTTTT,??????????,??????????,40
"cykt",AAWWWWWWWT,AWWWWWWWWW,WAWWWWWWWW,WWWWWWWWWW,40
"Degenerate",AAWWWWWWWW,AWWWTTTTTT,AWWWWWWWWW,WWWWWWWWWW,40
"tracy061",AAWWWWWWWW,AWWWWWWWWW,WWWWWTTTTT,??????????,30
"coycooper",AAWWWWWWWW,WWWWWWWWWW,AWWWWWWWWW,WWWWWWWWWW,30
"fp_hwl",WWWWWWTWTT,AAAWTTTTTT,WWWWTTTTTT,??????????,30
"fp_wzm",AWWWWWWWTT,YBBBBBBBBB,AWAWWWWWWW,WWWWWWWWWW,30
"ra224",AAWWWWWWWW,WWWWTTTTBB,AWWWWWWWWW,WWWWWWWWWW,30
"tracy",AAWWWWWWWW,AWWWWWWWWW,WWWWWTTTTT,??????????,30
"不用dp做dp",AAWWWWWWWW,AWWWWBTTTT,??????????,??????????,30
"个性傲气",AAWWWWWWBB,AWTTTTTTTT,WWWWWWWWWW,WWWWWWWWWW,30
"hj604",AAWWWWWWWW,??????????,AWWWWWWWWW,??????????,30
"pyf",AAWWWWWWWW,??????????,WWWWWWTTTT,??????????,20
"00victor2100",AAWWWWWWWW,??????????,??????????,??????????,20
"0victor2100",AAWWWWWWWW,??????????,??????????,??????????,20
"AFP",AAWWWTTTTT,??????????,??????????,??????????,20
"BL万岁",AAWWWWWWTT,??????????,??????????,??????????,20
"Claire",WWWWWWWWWW,AAWWWWWWWW,??????????,??????????,20
"cry",AAWWWWWWTT,??????????,??????????,??????????,20
"dab1990",AAWWWWWWWW,??????????,??????????,??????????,20
"devinw",WWWWWWWWWW,AWWWBBBTTT,AWWWWWWWWW,??????????,20
"double339",AAWWWWWWWW,??????????,??????????,??????????,20
"flyingforever",AAWWWWWWTT,??????????,??????????,??????????,20
"fp-hkl",AAWWWWWWTT,??????????,??????????,??????????,20
"hp22626",AWWWWWWWWW,ABBBBBBBBB,??????????,??????????,20
"In_Which囧",AAWWWWWWWW,??????????,MMMMMMMMMM,??????????,20
"joey911105",AAWWWWWWTT,??????????,??????????,??????????,20
"LCWOW",AAWWWWWWWW,??????????,MMMMMMMMMM,??????????,20
"moon",AAWWTTTTTT,??????????,??????????,??????????,20
"ryanli",AAWWWWWWTT,??????????,??????????,??????????,20
"shelley",AAWWWWWWWW,??????????,??????????,??????????,20
"shenyang",AAWWWTTTTT,??????????,??????????,??????????,20
"SuperVegetables",AAWWWWWWTT,??????????,??????????,??????????,20
"victor2100",AAWWWWWWWW,??????????,??????????,??????????,20
"vilinov的第二题搜索",??????????,AABTTTTTTT,??????????,??????????,20
"wuxifan88",AAWWWWWWTT,??????????,??????????,??????????,20
"yalalalala",AAWWWWWWWW,??????????,??????????,??????????,20
"yezhg",AAWWWWWWWW,WWWWWWWWWW,WWWWWWWWWW,WWWWWWWWWW,20
"zhaojq",AAWWWWWWWW,??????????,??????????,??????????,20
"zhoujiashun",AAWWWWWWWW,WWWWWWBBBB,??????????,??????????,20
"zjy",WWWWWWWWWW,AATTTTTTTT,??????????,??????????,20
"zplinti1",AWWWWWWWWW,WWWWWWWWWW,WWWWWWWWWW,AWWWWWWWWW,20
"一道题也不会，郁闷",AAWWWWWWBW,WWWWWTTTTT,WWWWWWWWWW,??????????,20
"只做第一题",AAWWWWWWWW,??????????,??????????,??????????,20
"张睿捷",WWWWWWWWWW,ABBBBBBBBB,AWWWWWWWWW,??????????,20
"我的老天爷",AAWWWWWWTT,??????????,??????????,??????????,20
"起个名字真不好想啊我还是随便起个吧希望不要交晚了",AAWWWWWWWW,??????????,??????????,??????????,20
"you",WWWWWWWWWW,WWWWWWWWWW,WWWWWWWWWW,AWWWWWWWWW,10
"0agzistment",AWWWWWWWTT,??????????,??????????,??????????,10
"0dk647",WWWWWWWWWW,AWWWWWWWWW,??????????,??????????,10
"0fp_wzz",WWWWWWWWWW,AWWWWWWWWW,??????????,BBBBBBBBBB,10
"0majjjj",WWWWWWWWWW,??????????,WAWWWWWWWW,??????????,10
"0pingdiguo",TTTTTTTTTT,AWWWWWWWWW,WWWWWWWWWW,WWWWWWWWWW,10
"0wolfknight",AWWWWWWWWW,??????????,??????????,??????????,10
"123",??????????,AWWWTTTTTT,??????????,??????????,10
"agzistment",AWWWWWWWTT,??????????,??????????,??????????,10
"ak3847",WWWWWWWWWW,AWWWTTTTTT,WWWWWWWWWW,WWWWWWWWWW,10
"BillWSY",AWWWWWWWTT,??????????,??????????,??????????,10
"essyding",AWWWWTTTTT,YYYYYYYYYY,YYYYYYYYYY,YYYYYYYYYY,10
"fish",**********,AWWWWWTTTT,MMMMMMMMMM,YYBBBBBBBB,10
"fp-HRT",AWWWWWWWWW,??????????,??????????,YYYYYYYYYY,10
"fp-hwh",AWWWWWWWWW,WWWWWWWWWW,??????????,??????????,10
"fp-wwd",??????????,??????????,AWWWWWWWWW,WWBTBBBBBT,10
"fp_whl",WWWWWWWWTT,AWWWWWWTTT,??????????,??????????,10
"fp_wzz",WWWWWWWWWW,AWWWWWWWWW,??????????,BBBBBBBBBB,10
"fzebexcel",WWWWWWWWWW,AWWWWWWWWW,YYYYYYYYYY,YYYYYYYYYY,10
"knightII",AWWWWWWWWW,WWWWWWWWWW,??????????,??????????,10
"lirczx",??????????,WATTTTTTTT,??????????,??????????,10
"LOVE+DIGIMON",??????????,AWWWWWWWWW,??????????,??????????,10
"luosoof",WWWWWWWWWW,AWWWWWWWWW,??????????,??????????,10
"majjjj",WWWWWWWWWW,??????????,WAWWWWWWWW,??????????,10
"myliuzr",WWWWWWWWWW,AWWWWWWWWW,??????????,??????????,10
"pingdiguo",TTTTTTTTTT,AWWWWWWWWW,WWWWWWWWWW,WWWWWWWWWW,10
"TAOT",AWWWWWWWWW,??????????,??????????,??????????,10
"WD",WWWWWWWWWW,ABBBBBBBBB,??????????,??????????,10
"wolfknight",AWWWWWWWWW,??????????,??????????,??????????,10
"zhengnan",WWWWWWWWWW,ABBBBBBBBB,??????????,??????????,10
"国威",AWWWWWWWWW,WWWWWWWWWW,WWWWWWWWTT,WWWWWWWWWW,10
"萌动懵懂",??????????,??????????,AWWWWWWWWW,WWBTBBBBBT,10
"零分王子",AWWWWWWWWW,??????????,??????????,??????????,10
"ly16",??????????,??????????,AWWWWWWWWW,??????????,10
"shiftsss",??????????,??????????,ABBBBBBBBB,??????????,10
"嗜啸プ冰魄",WWWWWWWWWW,WWWWWWWWWW,AWWWWWWWWW,??????????,10
"00bags",??????????,WBBBBBBBBB,??????????,??????????,0
"00DP07",??????????,??????????,??????????,??????????,0
"0bags",??????????,WBBBBBBBBB,??????????,??????????,0
"0boboo",??????????,??????????,??????????,??????????,0
"0DP07",??????????,??????????,??????????,??????????,0
"0game",??????????,??????????,??????????,??????????,0
"0lzb",----------,----------,??????????,??????????,0
"0passssap",??????????,WWWWWWWWWW,??????????,??????????,0
"0分纪念",??????????,??????????,MMMMMMMMMM,YYYYYYYYYY,0
"0武龙涛",??????????,??????????,??????????,??????????,0
"1023",YYYYYYYYYY,??????????,??????????,??????????,0
"1111111111111",??????????,??????????,??????????,??????????,0
"1993810",??????????,??????????,??????????,??????????,0
"abcdefa",??????????,??????????,??????????,??????????,0
"ad",??????????,??????????,??????????,??????????,0
"ai",WWWWWWWWWW,??????????,??????????,??????????,0
"airold",WWWWWWWWTT,??????????,??????????,??????????,0
"arrowstar",YYYYYYYYYY,??????????,??????????,??????????,0
"bags",**********,WBBBBBBBBB,??????????,??????????,0
"boboo",??????????,??????????,??????????,??????????,0
"caseisbig",WWWWWWWWWW,??????????,WWWWWWWWWW,??????????,0
"cv5799520",??????????,??????????,??????????,??????????,0
"devin",WWWWWWWWWW,??????????,??????????,??????????,0
"dk647",WWWWWWWWWW,YYYYYYYYYY,??????????,??????????,0
"DP07",??????????,??????????,??????????,??????????,0
"DPDPD",??????????,??????????,??????????,??????????,0
"DPDPDP",??????????,??????????,??????????,??????????,0
"FDhyc",WWWWWWWWWW,??????????,??????????,??????????,0
"fked",??????????,??????????,WWWWWWWWWW,??????????,0
"fp_hzh",WWWWWWWWWW,??????????,??????????,??????????,0
"fp_zsx",TTTTTTTTTT,??????????,??????????,??????????,0
"freedom",WWWWWWWWTT,TWWWWWWWWW,WWWWWWWWWW,??????????,0
"game",WWWWWWWWWW,??????????,??????????,??????????,0
"gameover",WWWWWWWWWW,??????????,??????????,??????????,0
"gexy",??????????,??????????,??????????,??????????,0
"hanyi",MMMMMMMMMM,??????????,WWWWWTTTTT,??????????,0
"hh4742",WWWWWWWWWW,??????????,??????????,??????????,0
"huowumay",??????????,??????????,??????????,??????????,0
"hzhua",??????????,??????????,??????????,??????????,0
"hzyefeng",??????????,??????????,??????????,??????????,0
"Jby_Yeah",??????????,??????????,??????????,??????????,0
"lbh",??????????,RRRRRRRRRR,??????????,??????????,0
"Leyni",WWWWWWWWWW,??????????,WWWWWWWWWW,??????????,0
"LittlePig",WWWWWWWWWW,WBBBBBBBBB,??????????,??????????,0
"luodog",WWWWWWWWWW,??????????,??????????,??????????,0
"lzb",----------,----------,??????????,??????????,0
"monster_chen",??????????,??????????,WWWWWWWWWW,??????????,0
"night",??????????,??????????,??????????,??????????,0
"noname",----------,WWWWWWWWWW,----------,??????????,0
"ntzhouhao",WWWWWTTTTT,??????????,??????????,??????????,0
"paopao",WWWWWWWWWW,??????????,WWWWWWWWWW,??????????,0
"passssap",??????????,WWWWWWWWWW,??????????,??????????,0
"pbys2007",??????????,WWWWWWWWWW,**********,TTTTTTTTTT,0
"pfk",??????????,??????????,??????????,??????????,0
"RandRP",??????????,??????????,??????????,??????????,0
"redteer",??????????,WWWWTTTTBT,??????????,??????????,0
"sheat",TTTTTTTTTT,TTTTTTTTTT,WWWWWWWWWW,TTTTTTTTTT,0
"testname",??????????,WWWWWWWWWW,----------,??????????,0
"therefore",??????????,??????????,??????????,??????????,0
"tom2427",YYYYYYYYTT,??????????,??????????,??????????,0
"true1023",??????????,??????????,??????????,??????????,0
"wanghuifen987",WWWWWWWWWW,WWTTTTTTTT,----------,WWWWWWWWWW,0
"wangqz",??????????,??????????,??????????,??????????,0
"XeCycle",YYYYYYYYYY,??????????,??????????,??????????,0
"zhaoruoshi最惨的模拟",WWWWWWWWWW,??????????,??????????,WWWBBBBBBB,0
"zhuyl",??????????,BBBBBBBBBB,??????????,??????????,0
"zhuyunlong",??????????,??????????,??????????,??????????,0
"zjoo00",??????????,??????????,??????????,??????????,0
"zyl",BBBBBBBBBB,BBBBBBBBBB,??????????,??????????,0
"【水月】轻枫",??????????,??????????,??????????,??????????,0
"人民",??????????,??????????,??????????,??????????,0
"住田",??????????,??????????,??????????,??????????,0
"吴潇岛",??????????,??????????,??????????,??????????,0
"孔繁阳",WWWWWWWWWW,??????????,??????????,??????????,0
"新文件夹",WWTTTTTTTT,YYYYYYYYYY,WWWWWWWWWW,----------,0
"林剑满",??????????,??????????,??????????,??????????,0
"正版",WWWWWWWWWW,WWWWWWWWWW,??????????,??????????,0
"武龙涛",??????????,??????????,??????????,??????????,0
"江南不才",??????????,WTTTTTTTTT,??????????,??????????,0
"游生幻梦",??????????,YYYYYYYYYY,??????????,??????????,0
"独角",WWWWWWWWTT,??????????,??????????,??????????,0
"生子当如DD牛",YYYYYYYYYY,??????????,??????????,??????????,0
"赵剑波",??????????,??????????,??????????,??????????,0
"跑跑",WWWWWWWWWW,??????????,WWWWWWWWWW,WWWWWWWWWW,0
"郁闷ing",??????????,??????????,??????????,??????????,0
"黑人",TTTTTTTTTT,??????????,YYYYYYYYYY,??????????,0

"R=无法运行
T=超时
M=超内存
Y=运行时错误
B=崩溃
A=正确
W=错误的答案
P=得部分分
*=程序无输出
[=缺标准输入
]=无标准输出
?=无程序
^=自定义评测错误
-=编译错误"
